rango_precio,calidad,cantidad_vinos,puntaje_medio
Accesible,Media,16543,87.99305471675324
Premium,Media,8740,88.4603065660032
Premium,Alta,7431,92.12779122948615
Económico,Media,7180,87.25769177224001
Económico,Baja,5392,83.93753475440222
Alta gama,Alta,4329,92.77754677754677
Accesible,Baja,4118,84.06313744536183
Accesible,Alta,3492,91.60875787063537
Alta gama,Media,1765,88.75240793201134
Premium,Baja,1097,84.12032816773018
Alta gama,Excelente,329,96.68996960486322
Económico,Alta,174,91.2816091954023
Alta gama,Baja,150,84.14
Premium,Excelente,56,96.25
Accesible,Excelente,5,96.0
Económico,Excelente,0,
